file,start_datetime,stop_datetime,region_id,sex,treatment,lineage,status
Monitor1.txt,2026-02-06 09:02,2026-02-08 07:48,1,M,C,1,OK
Monitor1.txt,2026-02-06 09:02,2026-02-08 07:48,2,M,C,1,OK
Monitor1.txt,2026-02-06 09:02,2026-02-08 07:48,3,M,C,1,OK
Monitor1.txt,2026-02-06 09:02,2026-02-08 07:48,4,M,C,1,OK
Monitor1.txt,2026-02-06 09:02,2026-02-08 07:48,5,M,C,1,OK
Monitor1.txt,2026-02-06 09:02,2026-02-08 07:48,6,M,C,1,OK
Monitor1.txt,2026-02-06 09:02,2026-02-08 07:48,7,M,C,1,OK
Monitor1.txt,2026-02-06 09:02,2026-02-08 07:48,8,M,C,1,OK
Monitor1.txt,2026-02-06 09:02,2026-02-08 07:48,9,M,C,1,OK
Monitor1.txt,2026-02-06 09:02,2026-02-08 07:48,10,M,C,1,OK
Monitor1.txt,2026-02-06 09:02,2026-02-08 07:48,11,M,C,1,OK
Monitor1.txt,2026-02-06 09:02,2026-02-08 07:48,12,M,C,1,OK
Monitor1.txt,2026-02-06 09:02,2026-02-08 07:48,13,M,C,1,OK
Monitor1.txt,2026-02-06 09:02,2026-02-08 07:48,14,M,C,1,OK
Monitor1.txt,2026-02-06 09:02,2026-02-08 07:48,15,M,C,1,OK
Monitor1.txt,2026-02-06 09:02,2026-02-08 07:48,16,M,C,1,OK
Monitor1.txt,2026-02-06 09:02,2026-02-08 07:48,17,F,C,1,OK
Monitor1.txt,2026-02-06 09:02,2026-02-08 07:48,18,F,C,1,OK
Monitor1.txt,2026-02-06 09:02,2026-02-08 07:48,19,F,C,1,OK
Monitor1.txt,2026-02-06 09:02,2026-02-08 07:48,20,F,C,1,OK
Monitor1.txt,2026-02-06 09:02,2026-02-08 07:48,21,F,C,1,OK
Monitor1.txt,2026-02-06 09:02,2026-02-08 07:48,22,F,C,1,OK
Monitor1.txt,2026-02-06 09:02,2026-02-08 07:48,23,F,C,1,OK
Monitor1.txt,2026-02-06 09:02,2026-02-08 07:48,24,F,C,1,OK
Monitor1.txt,2026-02-06 09:02,2026-02-08 07:48,25,F,C,1,OK
Monitor1.txt,2026-02-06 09:02,2026-02-08 07:48,26,F,C,1,OK
